VIN,TripCount,DTC_Trip_count,Priority_DTC,DTC Name,PerVIN_perDTC_count,latest_date,Non_DTC_Trip_count,Percentage Trips with DTC,VehDel_SERIESNAMEENG,VehDel_MODELCODE,VehDel_MODELDESC
JTMAA7BJ7P4065088,10388,69,P03352A,"Crankshaft Position Sensor ""A"" Signal Stuck in Range",69,2024-07-31,10319,0.664,LANDCRUISER,FJA300R-GNUSY,LAND CRUISER 300 GR-S 4X4 A/T 
JTNAAAAA1N7000498,67536,456,C05061C,Right Front Wheel Speed Sensor Circuit Voltage Out of Range,456,2024-07-31,67080,0.675,VOXY,MZRA90R-BPXRH,VOXY 2.0 CVT (MZRA90R-BPXRH)
JTNAAAAAXN7000368,109790090052,32256,C05061C,Right Front Wheel Speed Sensor Circuit Voltage Out of Range,2160,2024-07-31,109790057796,0.0,VOXY,MZRA90R-BPXRH,VOXY 2.0 CVT (MZRA90R-BPXRH)
JTNAAAAAXN7000368,109790090052,32256,C116496,ABS Pump Motor Drive Circuit Component Internal Failure,32256,2024-07-31,109790057796,0.0,VOXY,MZRA90R-BPXRH,VOXY 2.0 CVT (MZRA90R-BPXRH)
JTNACAAHXP8000908,92878658088,72,C137BA3,"Brake System Control Module ""A"" System Voltage System Voltage High",72,2024-07-31,92878658016,0.0,ALPHARD,AAHH40R-PFXLB,ALPHARD 2.5 HYBRID CVT (AAHH40
JTNACAAHXP8000908,92878658088,72,P177949,Gear Shift Control Module Backup Power Supply Internal Electronic Failure,48,2024-07-31,92878658016,0.0,ALPHARD,AAHH40R-PFXLB,ALPHARD 2.5 HYBRID CVT (AAHH40
MHFAA8GS0N0790631,13392,2,P07457F,"Pressure Control Solenoid ""A"" Actuator Stuck Off",2,2024-07-31,13390,0.015,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS0N0790631,13392,2,P27137F,"Pressure Control Solenoid ""D"" Actuator Stuck Off",2,2024-07-31,13390,0.015,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS1N0784689,22078,24,P03402A,"Camshaft Position Sensor ""A"" Bank 1 or Single Sensor Signal Stuck in Range",24,2024-07-31,22054,0.109,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS2P0796661,21336,14280,C13807E,Stop Lamp Relay Actuator Stuck On,14280,2024-07-29,7056,66.929,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS4P0903774,19942,2256,P062D96,Fuel Injector Driver Circuit Performance Bank 1 Component Internal Failure,2256,2024-07-29,17686,11.313,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS7N0790142,4684,216,P062D96,Fuel Injector Driver Circuit Performance Bank 1 Component Internal Failure,216,2023-11-16,4468,4.611,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAA8GS8N0787959,18910,2496,P062D96,Fuel Injector Driver Circuit Performance Bank 1 Component Internal Failure,2496,2024-02-27,16414,13.199,FORTUNER-DIESEL,GUN166R-SDTHXD,FORTUNER 2.8 VRZ 4X2 A/T (GUN1
MHFAAAAA2P0022868,23904,480,B000112,Driver Frontal Stage 1 Deployment Control Circuit Short to Battery,480,2024-07-31,23424,2.008,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAA3P0007313,100998829776,576,P12D213,Fuel Pump Control (V Phase) Circuit Open,72,2024-07-31,100998829200,0.0,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAA3P0007313,100998829776,576,P12D501,Fuel Pump Control General Electrical Failure,504,2024-07-31,100998829200,0.0,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAA6P0005846,48385485888,96,P211904,"Throttle Actuator ""A"" Control Throttle Body Range/Performance System Internal Failure",24,2024-07-27,48385485792,0.0,INNOVA ZENIX,MAGA10R-BRXMBD,MAGA10R-BRXMBD 2.0 V CVT
MHFAAAAA6P0005846,48385485888,96,P211977,"Throttle Actuator ""A"" Control Throttle Body Range/Performance Commanded Position Not Reachable",96,2024-07-27,48385485792,0.0,INNOVA ZENIX,MAGA10R-BRXMBD,MAGA10R-BRXMBD 2.0 V CVT
MHFAAAAA6P0013459,22008,1512,B116049,Airbag ECU (Microcomputer) Internal Electronic Failure,1512,2024-07-30,20496,6.87,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAA6P0018970,46707764472,12240,P12D213,Fuel Pump Control (V Phase) Circuit Open,10272,2024-07-31,46707752232,0.0,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAA6P0018970,46707764472,12240,P12D501,Fuel Pump Control General Electrical Failure,12216,2024-07-31,46707752232,0.0,INNOVA ZENIX,MAGA10R-BRXLBD,MAGA10R-BRXLBD 2.0 G CVT
MHFAAAAAXN0001800,24600,120,P063051,VIN Not Programmed,120,2024-07-31,24480,0.488,INNOVA ZENIX,MAGA10R-BRXMBD,MAGA10R-BRXMBD 2.0 V CVT
